#               time       E_Anisotropy              E_DMI            E_Demag  E_UniformExchange            E_total                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
             7.9e-10  4.73045183277e-18 -1.06129299097e-17  4.10034156017e-18  5.88843017793e-18  4.10629366122e-18 -2.09169101792e-16 -1.21102973328e-17   -0.0136266259298  9.90763027175e-13      1678581397.56              13384                 79 
               8e-10  4.72783522986e-18 -1.06147659693e-17  4.10243476877e-18  5.89077691416e-18   4.1062809435e-18 -7.11776316899e-17 -5.58677332791e-18   -0.0130945916961  1.26898491715e-12      1678581398.17              13481                 80 
             8.1e-10  4.72501620915e-18 -1.06171002563e-17  4.10467797922e-18  5.89367325131e-18  4.10626718341e-18  1.14399230829e-16 -6.34137803996e-19   -0.0125297903169  7.22089055216e-13      1678581398.76              13577                 81 
             8.2e-10  4.72234113962e-18 -1.06190192813e-17  4.10684239667e-18  5.89608914686e-18  4.10625340187e-18  4.41930442858e-17 -9.59302082215e-18   -0.0120082323381  1.34114941375e-12      1678581399.36              13674                 82 
             8.3e-10  4.72002464461e-18 -1.06199379295e-17  4.10878862502e-18  5.89736507546e-18  4.10624041561e-18  1.46919513592e-16 -1.15889165548e-17    -0.011568000035  1.10045306201e-12      1678581400.95              13771                 83 
             8.4e-10  4.71816680384e-18 -1.06196644067e-17  4.11044451713e-18  5.89728169328e-18  4.10622860757e-18 -1.91050878821e-16 -1.54910806405e-17   -0.0112232250815    8.881784197e-13      1678581401.59              13868                 84 
             8.5e-10  4.71678476616e-18 -1.06183582186e-17  4.11177985398e-18  5.89601172745e-18  4.10621812903e-18  4.65676879773e-17 -6.70374249939e-18    -0.010976709104  1.12909681604e-12      1678581402.29              13965                 85 
             8.6e-10    4.715819343e-18 -1.06164508472e-17  4.11280838205e-18  5.89403227152e-18  4.10620914936e-18 -7.34443370318e-17 -7.54411964997e-18   -0.0108180543201  8.30668867025e-13      1678581403.19              14062                 86 
             8.7e-10  4.71514239079e-18 -1.06145220246e-17  4.11359353186e-18  5.89198793636e-18  4.10620183443e-18  -2.5683159303e-16 -7.40148683083e-19   -0.0107189374746  7.10320691155e-13      1678581403.89              14158                 87 
             8.8e-10  4.71460095645e-18 -1.06131188613e-17  4.11422473115e-18  5.89048932599e-18  4.10619615232e-18 -1.05532866396e-16 -6.36450768631e-18   -0.0106411379018  5.86419801607e-13      1678581404.55              14255                 88 
             8.9e-10  4.71408836111e-18 -1.06125685364e-17   4.1147685355e-18  5.88990341899e-18   4.1061917792e-18 -2.01659676612e-16 -8.01827740007e-18   -0.0105561294967  2.91544566267e-13      1678581405.41              14352                 89 
               9e-10   4.7135933314e-18 -1.06128779599e-17  4.11523198114e-18   5.8902408634e-18    4.106188216e-18 -1.80565439144e-17 -7.55375700261e-18   -0.0104603277036  2.38697950294e-13      1678581406.16              14449                 90 
             9.1e-10  4.71319146319e-18 -1.06137743031e-17  4.11556693826e-18  5.89120089741e-18  4.10618499577e-18 -2.17264478013e-17 -5.61086670952e-18   -0.0103735081549  2.03614902716e-13      1678581406.91              14546                 91 
             9.2e-10  4.71299054704e-18 -1.06148526259e-17  4.11570778752e-18  5.89233609155e-18  4.10618180017e-18 -5.01142337504e-18  2.19538893238e-18   -0.0103234334921  2.30038210702e-13      1678581408.29              14643                 92 
             9.3e-10    4.713072356e-18 -1.06157413506e-17  4.11561058103e-18  5.89323685293e-18   4.1061784394e-18 -9.01747812223e-17  -2.0967024413e-17   -0.0103300935745  3.81472631261e-13      1678581408.98              14739                 93 
             9.4e-10  4.71346379191e-18 -1.06162110341e-17  4.11526968073e-18  5.89365234873e-18  4.10617478731e-18 -4.67527251481e-17 -1.95445511627e-17   -0.0103994376606  2.35478303523e-13      1678581410.06              14836                 94 
             9.5e-10  4.71413855149e-18 -1.06162069999e-17  4.11471273749e-18    5.893526475e-18  4.10617076407e-18 -1.93070867935e-16  -1.2923689896e-17    -0.010525782029  3.90132370853e-13      1678581410.96              14933                 95 
             9.6e-10  4.71503096397e-18 -1.06158275477e-17  4.11398945785e-18  5.89297349449e-18  4.10616636863e-18 -1.65562008547e-16 -4.82060379269e-18   -0.0106961274342  5.24025267623e-13      1678581411.78              15030                 96 
